GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
participants1a,asw.participants.webService.responses,RespuestaInfoREST,3,36,0,0,1,14,1,7,1,7
participants1a,asw.participants.webService.responses,RespuestaChangeInfoREST,11,15,0,0,6,6,3,3,3,3
participants1a,asw.dbManagement.model,Participant,23,154,4,10,10,41,7,19,4,15
participants1a,asw.participants.webService.responses.errors,ErrorResponse,0,3,0,0,0,1,0,1,0,1
participants1a,asw.participants.webService.responses.errors,WrongEmailStyleErrorResponse,2,5,0,0,1,2,1,2,1,2
participants1a,asw.participants.webService.responses.errors,SameEmailErrorResponse,2,5,0,0,1,2,1,2,1,2
participants1a,asw.participants.webService.responses.errors,UnknownErrorResponse,7,0,0,0,3,0,3,0,3,0
participants1a,asw.participants.webService.responses.errors,RequiredPasswordErrorResponse,2,5,0,0,1,2,1,2,1,2
participants1a,asw.participants.webService.responses.errors,IncorrectPasswordErrorResponse,2,5,0,0,1,2,1,2,1,2
participants1a,asw.participants.webService.responses.errors,RequiredEmailErrorResponse,2,5,0,0,1,2,1,2,1,2
participants1a,asw.participants.webService.responses.errors,KindNotFoundResponse,7,0,0,0,3,0,3,0,3,0
participants1a,asw.participants.webService.responses.errors,PasswordDoNotMatchErrorResponse,2,5,0,0,1,2,1,2,1,2
participants1a,asw.participants.webService.responses.errors,UserNotFoundResponse,2,5,0,0,1,2,1,2,1,2
participants1a,asw.participants.webService.responses.errors,RequiredKindErrorResponse,7,0,0,0,3,0,3,0,3,0
participants1a,asw,Application,5,85,0,0,2,9,1,3,1,3
participants1a,asw.participants.webService.request,PeticionChangePasswordREST,0,32,0,0,0,14,0,7,0,7
participants1a,asw.participants.webService.request,PeticionChangeEmailREST,0,36,0,0,0,16,0,8,0,8
participants1a,asw.participants.webService.request,PeticionInfoREST,0,26,0,0,0,12,0,6,0,6
participants1a,asw.participants.factory,ErrorFactory.Errors,5,115,0,0,0,11,1,3,1,3
participants1a,asw.participants.factory,ErrorFactory,15,33,3,7,5,8,4,7,1,1
participants1a,asw.participants.util,Utilidades,40,0,2,0,9,0,3,0,2,0
participants1a,asw.participants.util,Assert,20,87,6,18,7,25,7,15,3,7
participants1a,asw.participants.webService,GetParticipantInfoRESTController,0,41,0,0,0,9,0,3,0,3
participants1a,asw.participants.webService,ChangeInfoRESTController,0,118,0,0,0,31,0,4,0,4
participants1a,asw.dbManagement.impl,UpdateInfoImpl,0,39,5,5,0,12,5,3,0,3
participants1a,asw.dbManagement.impl,GetParticipantImpl,0,11,0,0,0,4,0,2,0,2
participants1a,asw.participants.webService.htmlController,GetParticipantInfoHTMLController,42,5,0,0,12,2,2,2,2,2
participants1a,asw.participants.webService.htmlController,ChangeInfoHTMLController,76,3,0,0,20,1,4,1,4,1
